loan_id,sector,region,exposure_at_default,probability_default,loss_given_default,duration_years,rate_type,risk_rating
LN-100000,Technology,North America,368138.03,0.01701,0.5176,1.92,floating,BB
LN-100001,Healthcare,APAC,15455776.82,0.00405,0.4638,14.04,floating,BBB
LN-100002,Technology,North America,4453235.2,0.04892,0.4896,2.4,fixed,B
LN-100003,Technology,APAC,2993114.66,0.01388,0.5433,1.6,floating,BB
LN-100004,Commercial Real Estate,North America,3973586.45,0.00058,0.3529,0.89,fixed,AA
LN-100005,Transportation,North America,423074.68,0.10597,0.5554,4.34,fixed,CCC
LN-100006,Transportation,North America,2853749.13,0.0149,0.2852,5.63,fixed,BB
LN-100007,Energy,APAC,1421350.83,0.01221,0.4894,3.93,fixed,BB
LN-100008,Manufacturing,EMEA,1165814.83,0.00165,0.4714,2.79,floating,A
LN-100009,Transportation,EMEA,5166009.91,0.00465,0.376,10.91,fixed,BBB
LN-100010,Manufacturing,EMEA,10091478.99,0.00422,0.4473,1.75,fixed,BBB
LN-100011,Financial Institutions,North America,14271956.13,0.04307,0.3753,3.57,floating,B
LN-100012,Financial Institutions,North America,8421416.97,0.01495,0.3214,6.17,floating,BB
LN-100013,Financial Institutions,APAC,1757305.8,0.04292,0.4076,1.16,floating,B
LN-100014,Commercial Real Estate,EMEA,2922623.35,0.00456,0.3175,4.57,floating,BBB
LN-100015,Retail & Consumer,North America,4608924.82,0.00109,0.4887,8.8,floating,A
LN-100016,Technology,APAC,2265476.67,0.0133,0.312,2.96,fixed,BB
LN-100017,Financial Institutions,APAC,2289492.21,0.00042,0.5354,3.35,floating,AA
LN-100018,Energy,LATAM,4906779.83,0.03491,0.3082,1.76,floating,B
LN-100019,Manufacturing,North America,1857587.37,0.01686,0.382,4.15,fixed,BB
LN-100020,Energy,North America,888939.42,0.01588,0.375,1.57,fixed,BB
LN-100021,Financial Institutions,North America,1256800.33,0.00357,0.609,2.84,fixed,BBB
LN-100022,Transportation,North America,3982026.49,0.09295,0.4896,0.79,floating,CCC
LN-100023,Energy,North America,1989298.5,0.02499,0.4246,0.15,floating,B
LN-100024,Energy,APAC,2882680.0,0.01286,0.5098,2.06,floating,BB
LN-100025,Manufacturing,North America,4143648.2,0.00204,0.1971,2.03,fixed,A
LN-100026,Transportation,EMEA,1312802.06,0.00426,0.4448,2.2,fixed,BBB
LN-100027,Retail & Consumer,APAC,4555623.58,0.00055,0.6897,4.9,fixed,AA
LN-100028,Manufacturing,EMEA,3007822.23,0.0016,0.4659,5.74,fixed,A
LN-100029,Manufacturing,APAC,509765.25,0.01072,0.4581,3.68,floating,BB
LN-100030,Technology,EMEA,9689324.5,0.01338,0.5158,4.67,floating,BB
LN-100031,Energy,North America,51514398.08,0.12179,0.5575,1.61,floating,CCC
LN-100032,Energy,EMEA,321063.8,0.00395,0.2103,1.3,floating,BBB
LN-100033,Financial Institutions,North America,628098.27,0.00447,0.2481,4.21,floating,BBB
LN-100034,Retail & Consumer,LATAM,644899.86,0.00421,0.4752,1.14,fixed,BBB
LN-100035,Manufacturing,North America,2099879.77,0.00165,0.3642,1.03,fixed,A
LN-100036,Healthcare,EMEA,1467050.45,0.00135,0.6074,14.6,fixed,A
LN-100037,Healthcare,EMEA,1368854.53,0.20166,0.4122,3.11,fixed,CCC
LN-100038,Energy,APAC,3920274.21,0.00187,0.2179,2.03,fixed,A
LN-100039,Commercial Real Estate,APAC,2881619.15,0.01196,0.2978,1.85,fixed,BB
LN-100040,Commercial Real Estate,North America,2807072.43,0.00347,0.12,0.81,floating,BBB
LN-100041,Financial Institutions,APAC,3112109.35,0.05402,0.4219,3.62,fixed,B
LN-100042,Healthcare,North America,3904921.09,0.0136,0.4274,2.36,floating,BB
LN-100043,Financial Institutions,North America,195096.84,0.00484,0.3991,5.63,floating,BBB
LN-100044,Healthcare,North America,1327911.44,0.04201,0.5795,4.3,floating,B
LN-100045,Retail & Consumer,APAC,180190.32,0.05482,0.5938,2.3,floating,B
LN-100046,Technology,EMEA,2062987.88,0.00408,0.4296,0.41,fixed,BBB
LN-100047,Energy,North America,30343594.84,0.00415,0.1938,3.11,floating,BBB
LN-100048,Retail & Consumer,EMEA,6262471.68,0.01729,0.5241,2.91,fixed,BB
LN-100049,Transportation,APAC,7322027.53,0.00142,0.5166,0.32,floating,A
LN-100050,Transportation,North America,2478223.56,0.00129,0.4871,3.97,fixed,A
LN-100051,Financial Institutions,APAC,1143498.31,0.00019,0.5678,1.11,fixed,AAA
LN-100052,Transportation,EMEA,3380983.58,0.01495,0.3102,5.83,floating,BB
LN-100053,Retail & Consumer,APAC,1109356.42,0.01071,0.6911,2.78,floating,BB
LN-100054,Commercial Real Estate,LATAM,1979724.17,0.01534,0.3349,1.81,fixed,BB
LN-100055,Retail & Consumer,APAC,5866389.63,0.01287,0.5399,3.43,floating,BB
LN-100056,Healthcare,North America,1073517.85,0.00469,0.2475,3.28,fixed,BBB
LN-100057,Financial Institutions,APAC,4810186.93,0.00897,0.3384,3.2,floating,BB
LN-100058,Retail & Consumer,North America,4177157.32,0.00132,0.632,5.32,fixed,A
LN-100059,Manufacturing,North America,693654.31,0.00112,0.4187,3.58,fixed,A
LN-100060,Retail & Consumer,North America,5787919.98,0.01226,0.5508,1.68,fixed,BB
LN-100061,Financial Institutions,APAC,4275548.6,0.00415,0.4784,2.42,fixed,BBB
LN-100062,Commercial Real Estate,APAC,2218004.5,0.01362,0.4374,7.21,fixed,BB
LN-100063,Manufacturing,APAC,857215.13,0.01347,0.6137,1.56,fixed,BB
LN-100064,Energy,LATAM,770560.44,0.01367,0.4216,3.92,fixed,BB
LN-100065,Financial Institutions,North America,1097528.25,0.01443,0.2363,5.45,fixed,BB
LN-100066,Retail & Consumer,APAC,3601474.52,0.01188,0.3536,4.19,fixed,BB
LN-100067,Energy,LATAM,52789541.61,0.00442,0.5161,3.13,fixed,BBB
LN-100068,Manufacturing,APAC,3208337.58,0.00066,0.4975,3.48,floating,AA
LN-100069,Commercial Real Estate,North America,505887.16,0.00423,0.262,4.37,floating,BBB
LN-100070,Retail & Consumer,EMEA,1584096.16,0.00163,0.3631,1.54,fixed,A
LN-100071,Transportation,LATAM,2236924.59,0.00418,0.3802,2.93,floating,BBB
LN-100072,Technology,EMEA,29198945.67,0.05874,0.4061,10.87,fixed,B
LN-100073,Financial Institutions,North America,435806.13,0.00148,0.2849,4.01,fixed,A
LN-100074,Healthcare,LATAM,10011210.0,0.00057,0.3746,3.21,floating,AA
LN-100075,Transportation,APAC,2338047.31,0.00355,0.3626,2.23,floating,BBB
LN-100076,Manufacturing,LATAM,3116711.85,0.00338,0.5426,1.56,floating,BBB
LN-100077,Transportation,EMEA,2258435.12,0.01139,0.5471,3.56,fixed,BB
LN-100078,Energy,LATAM,3233900.33,0.01213,0.4325,3.74,floating,BB
LN-100079,Retail & Consumer,APAC,1674368.08,0.01385,0.403,2.78,fixed,BB
LN-100080,Healthcare,APAC,9815322.07,0.0147,0.4668,13.65,fixed,BB
LN-100081,Manufacturing,EMEA,1200059.55,0.00403,0.352,1.67,fixed,BBB
LN-100082,Manufacturing,North America,6889148.35,0.03983,0.3124,1.36,floating,B
LN-100083,Energy,North America,975978.82,0.0017,0.3372,2.26,fixed,A
LN-100084,Commercial Real Estate,LATAM,1855608.01,0.00022,0.3738,2.85,floating,AAA
LN-100085,Technology,North America,609772.49,0.00059,0.3104,1.49,floating,AA
LN-100086,Transportation,APAC,3270737.63,0.01263,0.4694,3.5,floating,BB
LN-100087,Energy,North America,9719439.91,0.00433,0.5376,3.77,floating,BBB
LN-100088,Retail & Consumer,APAC,1821021.57,0.00154,0.2595,4.73,floating,A
LN-100089,Transportation,APAC,1596661.96,0.00313,0.453,1.99,fixed,BBB
LN-100090,Energy,APAC,35878187.81,0.00148,0.4236,6.83,fixed,A
LN-100091,Commercial Real Estate,EMEA,1540747.25,0.01455,0.491,4.51,floating,BB
LN-100092,Technology,EMEA,343838.14,0.00346,0.4484,1.65,fixed,BBB
LN-100093,Energy,North America,726384.1,0.00411,0.2756,1.49,fixed,BBB
LN-100094,Energy,North America,2544550.7,0.00313,0.2985,2.38,fixed,BBB
LN-100095,Energy,EMEA,8460463.5,0.01681,0.4535,3.78,fixed,BB
LN-100096,Technology,EMEA,43581004.96,0.00475,0.5735,4.17,fixed,BBB
LN-100097,Energy,EMEA,1040026.14,0.00058,0.1843,4.51,fixed,AA
LN-100098,Manufacturing,North America,9614954.19,0.00158,0.4915,10.44,floating,A
LN-100099,Energy,EMEA,2592485.77,0.07662,0.5928,0.57,fixed,CCC
LN-100100,Manufacturing,North America,1678863.42,0.03719,0.4316,2.73,floating,B
LN-100101,Healthcare,North America,3191028.69,0.01338,0.516,9.89,floating,BB
LN-100102,Retail & Consumer,EMEA,2122506.23,0.00336,0.3656,4.87,fixed,BBB
LN-100103,Manufacturing,North America,2238765.82,0.13286,0.4357,1.29,floating,CCC
LN-100104,Technology,North America,1265317.35,0.01819,0.2555,3.38,floating,BB
LN-100105,Technology,APAC,425950.91,0.01153,0.1687,2.61,floating,BB
LN-100106,Commercial Real Estate,North America,362947.07,0.0035,0.5631,2.54,fixed,BBB
LN-100107,Transportation,North America,4067623.06,0.00414,0.3318,1.96,fixed,BBB
LN-100108,Transportation,EMEA,1462459.11,0.00075,0.3953,3.19,fixed,AA
LN-100109,Technology,North America,1029210.14,0.03675,0.2836,6.03,floating,B
LN-100110,Technology,APAC,2001397.39,0.00415,0.2808,2.1,floating,BBB
LN-100111,Healthcare,EMEA,4753660.35,0.00191,0.4291,4.53,floating,A
LN-100112,Retail & Consumer,APAC,2417876.75,0.00301,0.3625,5.07,floating,BBB
LN-100113,Manufacturing,LATAM,963511.37,0.01131,0.4954,6.79,floating,BB
LN-100114,Manufacturing,APAC,7640107.65,0.0014,0.5043,1.46,floating,A
LN-100115,Energy,North America,11263793.82,0.04149,0.4885,3.01,fixed,B
LN-100116,Financial Institutions,North America,3416107.56,0.01571,0.4786,1.78,floating,BB
LN-100117,Manufacturing,EMEA,5786451.89,0.01451,0.6393,3.19,fixed,BB
LN-100118,Manufacturing,APAC,7772916.43,0.00294,0.3219,3.18,fixed,BBB
LN-100119,Transportation,LATAM,6872986.24,0.01508,0.4434,1.17,fixed,BB
LN-100120,Technology,North America,3896187.6,0.01279,0.5859,3.33,floating,BB
LN-100121,Technology,North America,3829258.55,0.01668,0.6017,10.77,fixed,BB
LN-100122,Energy,North America,3511755.56,0.00054,0.2794,4.18,fixed,AA
LN-100123,Manufacturing,APAC,592987.48,0.00362,0.4125,0.96,fixed,BBB
LN-100124,Healthcare,North America,4285704.35,0.00065,0.613,1.39,fixed,AA
LN-100125,Retail & Consumer,APAC,446236.62,0.00446,0.511,2.9,fixed,BBB
LN-100126,Energy,APAC,827314.84,0.00427,0.4734,1.42,floating,BBB
LN-100127,Financial Institutions,North America,8317909.96,0.00112,0.4239,6.56,floating,A
LN-100128,Retail & Consumer,North America,4996469.79,0.00162,0.4039,0.86,fixed,A
LN-100129,Healthcare,APAC,17544211.48,0.01183,0.4846,12.71,floating,BB
LN-100130,Manufacturing,APAC,1470566.38,0.26692,0.4197,0.69,fixed,CCC
LN-100131,Technology,APAC,558229.96,0.03539,0.4449,2.87,fixed,B
LN-100132,Financial Institutions,APAC,1521974.53,0.01494,0.4594,1.25,floating,BB
LN-100133,Transportation,North America,2218261.7,0.00352,0.3686,4.72,floating,BBB
LN-100134,Energy,APAC,2162742.37,0.01131,0.5139,5.86,floating,BB
LN-100135,Healthcare,EMEA,6900114.24,0.00022,0.7997,3.77,fixed,AAA
LN-100136,Transportation,APAC,1332546.77,0.12435,0.2368,6.04,floating,CCC
LN-100137,Healthcare,APAC,2920419.76,0.00363,0.4889,0.22,fixed,BBB
LN-100138,Energy,EMEA,668311.82,0.01705,0.3588,3.3,fixed,BB
LN-100139,Energy,APAC,3253848.49,0.00056,0.5193,4.16,floating,AA
LN-100140,Energy,North America,1989550.73,0.00402,0.4556,4.52,floating,BBB
LN-100141,Commercial Real Estate,LATAM,869092.92,0.00416,0.5414,3.99,floating,BBB
LN-100142,Financial Institutions,LATAM,1529708.42,0.04082,0.5911,4.59,floating,B
LN-100143,Transportation,EMEA,1619141.58,0.01499,0.4731,3.27,floating,BB
LN-100144,Technology,APAC,1473026.02,0.00368,0.5858,0.97,floating,BBB
LN-100145,Technology,North America,13914964.01,0.00375,0.1687,1.94,fixed,BBB
LN-100146,Financial Institutions,LATAM,1779262.3,0.00482,0.6409,6.58,fixed,BBB
LN-100147,Retail & Consumer,LATAM,1516194.72,0.00338,0.495,6.11,fixed,BBB
LN-100148,Retail & Consumer,APAC,197363.79,0.00255,0.5793,4.11,fixed,BBB
LN-100149,Technology,North America,741456.6,0.00025,0.3036,4.79,fixed,AAA
LN-100150,Manufacturing,APAC,1484545.52,0.06221,0.3503,5.65,fixed,B
LN-100151,Commercial Real Estate,APAC,932441.84,0.04226,0.4675,4.07,floating,B
LN-100152,Technology,EMEA,9064519.12,0.00106,0.448,6.46,floating,A
LN-100153,Financial Institutions,APAC,1653770.59,0.01335,0.484,6.33,floating,BB
LN-100154,Commercial Real Estate,APAC,8180703.23,0.00144,0.5801,12.88,fixed,A
LN-100155,Energy,APAC,2122011.67,0.0136,0.2382,2.01,floating,BB
LN-100156,Manufacturing,North America,2065639.91,0.00333,0.5669,2.04,fixed,BBB
LN-100157,Financial Institutions,APAC,1798248.88,0.01522,0.451,3.87,fixed,BB
LN-100158,Technology,North America,1991056.33,0.0151,0.4255,9.53,fixed,BB
LN-100159,Technology,APAC,13133470.15,0.01086,0.2735,6.79,fixed,BB
LN-100160,Healthcare,LATAM,154574.0,0.00166,0.5104,5.18,fixed,A
LN-100161,Manufacturing,APAC,219322.75,0.05886,0.1603,7.09,floating,B
LN-100162,Healthcare,North America,1090898.35,0.00154,0.5278,4.21,floating,A
LN-100163,Commercial Real Estate,APAC,2014699.62,0.00057,0.2709,2.4,floating,AA
LN-100164,Commercial Real Estate,APAC,4235935.96,0.0137,0.4564,11.02,fixed,BB
LN-100165,Financial Institutions,APAC,3336376.57,0.00437,0.4357,4.0,floating,BBB
LN-100166,Healthcare,APAC,1299291.27,0.03332,0.5903,6.24,floating,B
LN-100167,Energy,APAC,6082632.05,0.04611,0.4286,0.22,fixed,B
LN-100168,Energy,North America,42033266.6,0.00377,0.3667,0.29,floating,BBB
LN-100169,Commercial Real Estate,EMEA,2427721.24,0.15326,0.3892,3.37,fixed,CCC
LN-100170,Healthcare,APAC,5716820.37,0.0039,0.6027,1.42,fixed,BBB
LN-100171,Financial Institutions,North America,2676203.62,0.005,0.5144,3.59,fixed,BBB
LN-100172,Manufacturing,North America,1069143.77,0.00334,0.4037,2.04,fixed,BBB
LN-100173,Manufacturing,APAC,4272025.05,0.04896,0.4216,14.04,fixed,B
LN-100174,Energy,North America,2239301.25,0.00157,0.2619,5.92,fixed,A
LN-100175,Retail & Consumer,APAC,1985683.67,0.00052,0.4966,7.53,fixed,AA
LN-100176,Manufacturing,APAC,10021555.98,0.00411,0.2388,0.37,floating,BBB
LN-100177,Energy,North America,133791.87,0.14183,0.5402,5.14,fixed,CCC
LN-100178,Retail & Consumer,LATAM,416877.38,0.04281,0.4654,2.62,fixed,B
LN-100179,Financial Institutions,LATAM,537252.0,0.01045,0.7364,7.62,fixed,BB
LN-100180,Financial Institutions,LATAM,1329632.69,0.04488,0.318,4.65,floating,B
LN-100181,Manufacturing,North America,1498433.84,0.03891,0.4377,2.91,floating,B
LN-100182,Transportation,APAC,377732.59,0.00379,0.6658,1.07,floating,BBB
LN-100183,Energy,APAC,670866.99,0.00395,0.593,3.33,fixed,BBB
LN-100184,Transportation,APAC,769175.28,0.01042,0.3665,6.49,fixed,BB
LN-100185,Manufacturing,APAC,29596495.03,0.01061,0.4769,7.9,floating,BB
LN-100186,Technology,APAC,14388159.11,0.00429,0.4502,2.28,fixed,BBB
LN-100187,Energy,North America,1260571.37,0.00055,0.4838,12.64,floating,AA
LN-100188,Financial Institutions,APAC,1329160.88,0.00861,0.3662,6.16,floating,BB
LN-100189,Manufacturing,APAC,560102.79,0.00447,0.4393,1.44,fixed,BBB
LN-100190,Financial Institutions,EMEA,243058.28,0.04684,0.2582,1.17,floating,B
LN-100191,Commercial Real Estate,North America,1743546.46,0.27665,0.4662,2.74,floating,CCC
LN-100192,Technology,EMEA,661564.54,0.0012,0.504,2.28,fixed,A
LN-100193,Energy,APAC,1806071.16,0.05064,0.4227,4.23,fixed,B
LN-100194,Transportation,North America,341046.31,0.00158,0.2562,3.08,fixed,A
LN-100195,Retail & Consumer,APAC,857544.28,0.00204,0.5686,2.43,floating,A
LN-100196,Healthcare,North America,2334923.78,0.01488,0.4937,0.73,fixed,BB
LN-100197,Transportation,APAC,2966313.69,0.04762,0.3629,4.75,fixed,B
